student_id,jamb_attempts_count,jamb_year_most_recent,jamb_score_most_recent,school_type,school_location,gender,age_when_took_jamb,study_hours_per_day,study_resources,attended_extra_tutorials,consistent_study_schedule,study_plan_adherence,guardian_education_level,access_to_computer_smartphone,household_dependents,internet_reliability,access_to_textbooks,electricity_consistency,quality_of_instruction,familiar_with_cbt,arrived_early_exam_center,biggest_challenge,advice_to_future_candidate
94,1,2020,160,Public/Government,Urban,Female,18-20 years,<1 hour,"Past questions, Online tutorials/videos",No,Sometimes,Often,,No,9+ dependents,No Access,Most of them,Rarely,Poor,Yes,"Yes, significantly early", Venue,Nil
95,2,2024,168,Public/Government,Urban,Male,21-23 years,4+ hours,Textbooks,No,Yes,Often,Secondary,Yes,9+ dependents,No Access,Most of them,Daily,Average,No,"Yes, a little early",Literature ,My advice is that they should make sure they read and also be prepared for the exam 
96,2,2024,242,Public/Government,Rural,Male,15-17 years,4+ hours,Physical tutorials/coaching centers,Yes,Sometimes,Often,Tertiary,No,6-8 dependents,No Access,Very few,Most days,Average,Yes,"Yes, significantly early",Electric power supply,Read hard and study smart
97,1,2024,216,Public/Government,Rural,Male,18-20 years,2-3 hours,Past questions,No,No,Often,Tertiary,Yes,3-5 dependents,Slightly Reliable,Very few,A few days a week,Good,Yes,"Yes, a little early",None.,Believe in yourself 
98,2,2020,145,Public/Government,Urban,Male,15-17 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Secondary,Yes,6-8 dependents,Moderately Reliable,Very few,Daily,Poor,Yes,"Yes, a little early",Fear and my system went off while taking the exam. ,pray
99,1,2024,175,Public/Government,Urban,Female,18-20 years,<1 hour,Online tutorials/videos,No,No,Often,Primary,No,3-5 dependents,Moderately Reliable,Very few,A few days a week,Average,Yes,"Yes, significantly early",Procrastination ,Be prepared and do not be afraid 
100,2,2020,102,Public/Government,Urban,Female,21-23 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",No,Sometimes,Often,Primary,No,1-2 dependents,No Access,Some of them,Daily,Very Poor,Yes,"Yes, significantly early",Sourcing for past questions and video tutorials ,They should do better in their timing 
101,1,2020,100,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks",No,Yes,Often,Secondary,No,3-5 dependents,Moderately Reliable,"Yes, all",Daily,Good,Yes,"Yes, a little early",Distance ,Read well
102,2,2022,117,Public/Government,Urban,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Sometimes,Often,,No,3-5 dependents,Slightly Reliable,Most of them,A few days a week,Good,No,"Yes, a little early",Cant remember ,Study hard and be very fast typing
103,1,2024,168,Public/Government,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Tertiary,Yes,9+ dependents,No Access,Some of them,A few days a week,Very Poor,Yes,"Yes, a little early",Solving past questions ,Read and trust God in all you do 
104,1,2020,230,Public/Government,Urban,Male,15-17 years,4+ hours,"Past questions, Textbooks",No,Sometimes,Always,Secondary,No,3-5 dependents,Slightly Reliable,Some of them,Daily,Poor,Yes,"Yes, a little early",Fear of what might come out,Read o
105,1,2024,139,Public/Government,Rural,Male,15-17 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Yes,Always,Secondary,No,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Good,Yes,"Yes, significantly early","Time management, delay in registration and issues with profile code, not being able to change your email is an error occurred while uploading, hanging computer systems, and lastly disorganization at my JAMB center(We waited for hours before the exam started, and by then, I was already tired and anxious. It affected my concentration a bit, but I had to push through and focus)",Read well 
106,1,2022,132,Public/Government,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Primary,No,6-8 dependents,Slightly Reliable,"Yes, all",A few days a week,Poor,Yes,"Yes, significantly early",Have read for a long time,study harder
107,1,2023,174,Private,Rural,Male,18-20 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,No,Often,Tertiary,No,6-8 dependents,Very Reliable,"Yes, all",Daily,Poor,No,"Yes, significantly early", Venue,study hard and prepare yourself for the exam.
108,2,2021,149,Public/Government,Rural,Male,15-17 years,1-2 hours,Textbooks,No,Sometimes,Often,Tertiary,Yes,3-5 dependents,No Access,Very few,Daily,Average,No,"Yes, significantly early",Didnt even study,Study consistently long before your exam.
109,2,2023,258,Public/Government,Urban,Male,21-23 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Sometimes,Always,,No,3-5 dependents,Very Reliable,Some of them,A few days a week,Good,Yes,"Yes, significantly early",Electric power supply,pray
110,1,2025,214,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks",No,Yes,Sometimes,Tertiary,Yes,6-8 dependents,No Access,Very few,Most days,Poor,Yes,"Yes, a little early",I was eager to write the jamb because its my first time ,Study hard and dont be late to your center
111,1,2020,217,Private,Rural,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,,No,1-2 dependents,Moderately Reliable,"Yes, all",Most days,Poor,No,"Yes, a little early",I didn't face any challenge ,Read very well and practice CBT base test 
112,2,2023,153,Public/Government,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,Yes,Often,Tertiary,No,6-8 dependents,Very Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Network issue ,Read and trust God in all you do 
113,1,2024,182,Public/Government,Rural,Male,18-20 years,2-3 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Often,Primary,No,1-2 dependents,Moderately Reliable,Some of them,Most days,Average,No,"Yes, a little early",The aspect of not knowing one's exams center before the exam's day,Read hard
114,1,2024,117,Public/Government,Urban,Female,15-17 years,1-2 hours,Past questions,No,No,Often,,Yes,1-2 dependents,No Access,"Yes, all",Most days,Poor,Yes,"Yes, significantly early",Having to combine work and study,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
115,3,2024,162,Public/Government,Urban,Male,15-17 years,3-4 hours,Private lessons,Yes,Sometimes,Often,,Yes,6-8 dependents,Very Reliable,No,A few days a week,Average,Yes,"Yes, a little early",Cant remember ,Read your books very well and pray a lot and study past questions too
116,1,2021,160,Public/Government,Rural,Male,21-23 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Yes,Often,,No,6-8 dependents,Slightly Reliable,Some of them,A few days a week,Average,Yes,"Yes, a little early",Locating my center,Read hard and study smart
117,1,2023,158,Public/Government,Rural,Female,18-20 years,2-3 hours,"Textbooks, Physical tutorials/coaching centers",No,Sometimes,Often,Primary,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Poor,Yes,"Yes, a little early",Being consistent in the reading,Do your very best
118,4,2024,123,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks",Yes,Yes,Often,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",A few days a week,Average,Yes,"Yes, a little early",Sourcing for past questions and video tutorials ,Read consistently and try locating the venue of the exam before the day.
119,1,2020,119,Public/Government,Rural,Male,15-17 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Primary,Yes,1-2 dependents,Moderately Reliable,Some of them,Daily,Average,Yes,"Yes, a little early",Information overload ,To study and prepare well before taking jamb
120,1,2025,156,Private,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Tertiary,No,1-2 dependents,Very Reliable,Most of them,Most days,Poor,Yes,"Yes, a little early",The aspect of not knowing one's exams center before the exam's day,"Study well, revise and be calm when taking the exam."
121,2,2024,105,Public/Government,Rural,Female,21-23 years,3-4 hours,"Past questions, Textbooks",No,No,Sometimes,,No,3-5 dependents,Moderately Reliable,"Yes, all",Daily,Poor,No,"Yes, significantly early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,"Have a syllabus, now that I am in uni and have experienced cbt exams as my normal exams.
I know CBT is about wide range reading and understanding.
There shouldnt be a topic you no nothing about."
122,2,2024,211,Private,Rural,Female,15-17 years,3-4 hours,Textbooks,Yes,Sometimes,Often,Primary,No,9+ dependents,Slightly Reliable,Some of them,Most days,Average,Yes,"Yes, significantly early",None.,Study past questions 
123,1,2023,145,Public/Government,Urban,Male,15-17 years,<1 hour,"Past questions, Textbooks",Yes,No,Often,Tertiary,Yes,6-8 dependents,Moderately Reliable,Most of them,Daily,Very Poor,Yes,"Yes, a little early",I was eager to write the jamb because its my first time ,Study hard and dont be late to your center
124,2,2023,229,Private,Rural,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Yes,Always,Primary,Yes,1-2 dependents,Moderately Reliable,Most of them,Most days,Good,Yes,"Yes, a little early",Network problem ,"Read textbook and notes book before studying pass question, don't only study pass question "
125,1,2025,246,Private,Urban,Male,21-23 years,1-2 hours,Past questions,No,Yes,Often,Primary,Yes,1-2 dependents,No Access,Some of them,Daily,Average,Yes,"Yes, significantly early",My system going off whilst the exam was ongoing was the biggest challenge I faced,Study hard 
126,2,2025,206,Public/Government,Urban,Male,21-23 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,No,Always,Tertiary,Yes,6-8 dependents,Moderately Reliable,Some of them,A few days a week,Good,Yes,"Yes, significantly early",Didnt even study,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
127,2,2021,149,Private,Rural,Male,15-17 years,3-4 hours,Private lessons,No,No,Always,Tertiary,No,1-2 dependents,Very Reliable,Some of them,Most days,Average,Yes,"Yes, significantly early",Cant remember ,Be focus and be yourself 
128,1,2024,141,Public/Government,Urban,Male,18-20 years,1-2 hours,"Past questions, Textbooks",No,No,Often,Secondary,Yes,9+ dependents,Moderately Reliable,"Yes, all",Most days,Good,Yes,"Yes, a little early",Not having enough material for studying ,Read very well and pray 
129,1,2024,125,Public/Government,Rural,Female,15-17 years,1-2 hours,Past questions,No,Sometimes,Often,Secondary,No,6-8 dependents,Very Reliable,"Yes, all",Most days,Poor,Yes,"Yes, a little early",My laptop went off all of a sudden,Read
130,2,2023,140,Public/Government,Urban,Female,21-23 years,2-3 hours,"Textbooks, Physical tutorials/coaching centers",Yes,Yes,Always,,No,1-2 dependents,Very Reliable,"Yes, all",Daily,Average,Yes,"Yes, significantly early",Forgetting what I studied after 2 or 3 days,study hard and prepare yourself for the exam.
131,1,2024,215,Public/Government,Urban,Male,18-20 years,3-4 hours,Online tutorials/videos,No,Yes,Often,Secondary,Yes,6-8 dependents,Very Reliable,Some of them,Most days,Good,Yes,"Yes, a little early",Covering the entire Jamb syllabus ,Read hard
132,1,2024,267,Public/Government,Rural,Female,18-20 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers",Yes,Sometimes,Often,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,A few days a week,Good,Yes,"Yes, significantly early", Venue,study hard and prepare yourself for the exam.
133,1,2024,209,Private,Urban,Male,18-20 years,3-4 hours,Past questions,No,Sometimes,Always,,Yes,1-2 dependents,Slightly Reliable,Some of them,Rarely,Very Poor,Yes,"Yes, significantly early",Exam fever,"I'd ask them to read well, really well."
134,2,2025,174,Private,Urban,Male,18-20 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Often,Secondary,No,6-8 dependents,Very Reliable,No,Most days,Poor,No,"Yes, a little early",The location was difficult to locate and I wasn't familiar with CBT exam.,Study consistently long before your exam.
135,1,2022,124,Public/Government,Urban,Female,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Sometimes,Often,Primary,Yes,3-5 dependents,Moderately Reliable,Very few,A few days a week,Very Poor,Yes,"Yes, a little early",I didnt have much time to read,To study and prepare well before taking jamb
136,4,2022,192,Public/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Private lessons",Yes,No,Often,Primary,Yes,3-5 dependents,Moderately Reliable,Very few,Daily,Average,Yes,"Yes, significantly early",The fear of failure ,Read and trust God in all you do 
137,2,2020,177,Private,Rural,Male,21-23 years,1-2 hours,"Past questions, Online tutorials/videos",No,Yes,Often,Primary,Yes,1-2 dependents,Moderately Reliable,Some of them,A few days a week,Good,Yes,"Yes, significantly early",I had to go to travel to a very far place to write for the exam ,Believe in yourself 
138,1,2024,122,Public/Government,Urban,Male,15-17 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Sometimes,Often,,No,9+ dependents,No Access,"Yes, all",Rarely,Very Poor,Yes,"Yes, significantly early",Financial issues ,Be prepared and do not be afraid 
139,1,2022,100,Public/Government,Rural,Female,18-20 years,<1 hour,Private lessons,No,Sometimes,Always,Primary,No,3-5 dependents,Slightly Reliable,"Yes, all",Most days,Average,Yes,"Yes, significantly early",Access to internet ,A more precise syllabus 
140,2,2023,161,Public/Government,Urban,Male,15-17 years,3-4 hours,Online tutorials/videos,No,Sometimes,Often,Primary,Yes,6-8 dependents,Very Reliable,Some of them,Daily,Poor,Yes,"Yes, significantly early",Have read for a long time,Do your very best
141,2,2020,197,Public/Government,Rural,Male,21-23 years,2-3 hours,Past questions,Yes,Yes,Often,Primary,Yes,1-2 dependents,No Access,Most of them,Most days,Poor,No,"Yes, a little early",Covering the entire Jamb syllabus ,study harder
142,4,2024,187,Public/Government,Urban,Female,15-17 years,2-3 hours,Online tutorials/videos,No,Sometimes,Always,Tertiary,No,6-8 dependents,No Access,"Yes, all",A few days a week,Poor,Yes,"Yes, significantly early",Distraction ,"Work Hard, Be smart "
143,1,2025,152,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Often,,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Very Poor,Yes,"Yes, a little early", Venue,You can do it
144,1,2022,200,Public/Government,Urban,Female,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",No,Yes,Always,Secondary,No,1-2 dependents,Very Reliable,Some of them,Daily,Poor,No,"Yes, a little early",Fear of failure ,Study past questions it helps alot
145,1,2024,233,Public/Government,Urban,Male,15-17 years,1-2 hours,Past questions,No,Yes,Always,Secondary,Yes,6-8 dependents,Moderately Reliable,"Yes, all",Most days,Average,Yes,"Yes, significantly early",The aspect of not knowing one's exams center before the exam's day,Read consistently and try locating the venue of the exam before the day.
146,1,2020,253,Public/Government,Urban,Male,15-17 years,4+ hours,Online tutorials/videos,Yes,Yes,Often,Primary,No,6-8 dependents,Moderately Reliable,"Yes, all",Most days,Average,Yes,"Yes, a little early",Literature ,Read very well and practice CBT base test 
147,1,2024,100,Public/Government,Urban,Female,21-23 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Sometimes,,No,3-5 dependents,Slightly Reliable,Most of them,Most days,Very Poor,Yes,"Yes, significantly early",Access to electricity ,Read well
148,1,2025,158,Public/Government,Urban,Male,21-23 years,<1 hour,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Often,Secondary,Yes,1-2 dependents,Moderately Reliable,Some of them,A few days a week,Poor,Yes,"Yes, significantly early",Studying materials,study harder
149,2,2024,156,Public/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Private lessons",Yes,Yes,Always,Primary,Yes,1-2 dependents,No Access,No,Most days,Average,Yes,"Yes, a little early",I had to go to travel to a very far place to write for the exam ,Study hard 
150,3,2021,182,Public/Government,Urban,Female,18-20 years,2-3 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Sometimes,Primary,Yes,3-5 dependents,Moderately Reliable,Very few,Most days,Average,Yes,"Yes, a little early",Locating my center,They should read well
151,1,2022,164,Public/Government,Rural,Female,18-20 years,<1 hour,"Past questions, Textbooks",Yes,Yes,Often,Tertiary,Yes,9+ dependents,No Access,Most of them,Daily,Average,Yes,"Yes, significantly early","Computer disorder, waiting for hours before going in..",Study hard and dont be late to your center
152,1,2024,146,Public/Government,Urban,Male,15-17 years,3-4 hours,Online tutorials/videos,Yes,Yes,Always,Secondary,No,1-2 dependents,No Access,"Yes, all",Most days,Very Poor,No,"Yes, significantly early",House chores ,Read daily and study past questions
153,1,2020,125,Public/Government,Urban,Female,21-23 years,2-3 hours,"Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,No,Sometimes,Secondary,No,3-5 dependents,No Access,"Yes, all",Daily,Poor,Yes,"Yes, significantly early",Time and place to study,Whatever is worth doing at all is worth doing well
154,2,2024,240,Private,Urban,Male,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Always,Secondary,No,3-5 dependents,Slightly Reliable,"Yes, all",Rarely,Good,Yes,"Yes, significantly early",Access to internet ,"Don't be scared if you studied then all you have to do is be calm, pray and write what you know. Its not difficult till you make it seem like it is. "
155,2,2024,192,Public/Government,Urban,Male,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Yes,Often,Tertiary,No,6-8 dependents,Very Reliable,Some of them,Most days,Poor,No,"Yes, significantly early",I was not really prepared because I wrote jamb a year after I finished my secondary school ,"Study well, revise and be calm when taking the exam."
156,4,2025,282,Public/Government,Urban,Female,15-17 years,1-2 hours,"Past questions, Textbooks, Online tutorials/videos",No,Sometimes,Often,Primary,No,1-2 dependents,No Access,"Yes, all",Most days,Average,Yes,"Yes, a little early",Trying to score everything you read,Study past questions it helps alot
157,4,2024,140,Public/Government,Rural,Female,18-20 years,1-2 hours,Past questions,No,Yes,Often,Primary,No,3-5 dependents,Moderately Reliable,"Yes, all",Most days,Poor,No,"Yes, significantly early",Access to electricity ,"Have a syllabus, now that I am in uni and have experienced cbt exams as my normal exams.
I know CBT is about wide range reading and understanding.
There shouldnt be a topic you no nothing about."
158,3,2023,149,Public/Government,Rural,Male,15-17 years,2-3 hours,"Past questions, Textbooks, Study groups",Yes,Sometimes,Sometimes,Primary,Yes,6-8 dependents,Very Reliable,Very few,Most days,Poor,Yes,"Yes, significantly early",Access to electricity ,Always be consistent in your study plan and get yourself familiar with computer 
159,3,2024,237,Private,Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Always,Primary,Yes,1-2 dependents,Very Reliable,Some of them,Rarely,Good,Yes,"Yes, significantly early",Self doubt ,"Work Hard, Be smart "
160,1,2025,176,Public/Government,Urban,Male,21-23 years,4+ hours,"Textbooks, Physical tutorials/coaching centers",No,No,Often,,No,6-8 dependents,Moderately Reliable,Most of them,Daily,Poor,No,"Yes, significantly early",Self doubt ,Study hard 
161,1,2024,205,Public/Government,Rural,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Always,Tertiary,Yes,3-5 dependents,Slightly Reliable,"Yes, all",A few days a week,Poor,Yes,"Yes, a little early",Cant remember ,Study very hary
162,1,2021,188,Public/Government,Rural,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",No,No,Often,Secondary,Yes,3-5 dependents,Slightly Reliable,Some of them,Most days,Average,No,"Yes, significantly early", Venue,Read daily and study past questions
163,1,2023,243,Private,Urban,Male,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Always,Tertiary,Yes,6-8 dependents,Moderately Reliable,No,Daily,Poor,Yes,"Yes, significantly early",Distance ,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
164,1,2024,182,Public/Government,Urban,Male,15-17 years,2-3 hours,Past questions,Yes,Sometimes,Often,Secondary,Yes,6-8 dependents,Moderately Reliable,Most of them,Daily,Average,No,"Yes, a little early",Fear,"Read, concentrate, don't be in hast but also be conscious of your time"
165,2,2024,234,Public/Government,Rural,Male,21-23 years,3-4 hours,Physical tutorials/coaching centers,No,Yes,Often,Secondary,No,3-5 dependents,Slightly Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",No internet connection at the center ,You can do it
166,2,2025,159,Public/Government,Rural,Female,15-17 years,3-4 hours,Online tutorials/videos,Yes,No,Often,,No,3-5 dependents,Very Reliable,Most of them,A few days a week,Poor,No,"Yes, significantly early",Network problem ,"To avoid fear,just be confidence that you can do it"
167,3,2022,175,Public/Government,Urban,Male,18-20 years,2-3 hours,Private lessons,No,Yes,Often,,No,3-5 dependents,Moderately Reliable,Some of them,Most days,Average,Yes,"Yes, significantly early",Nothing just nerves on edge,Study very hary
168,2,2024,211,Public/Government,Urban,Female,15-17 years,4+ hours,Past questions,Yes,Yes,Often,Tertiary,Yes,1-2 dependents,Very Reliable,Most of them,Most days,Very Poor,Yes,"Yes, a little early",Fear,Study when you can
169,1,2024,117,Public/Government,Rural,Male,18-20 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",No,Yes,Often,,Yes,6-8 dependents,Moderately Reliable,"Yes, all",Daily,Very Poor,Yes,"Yes, significantly early",Information overload ,Whatever is worth doing at all is worth doing well
170,1,2022,121,Public/Government,Rural,Female,18-20 years,2-3 hours,"Past questions, Online tutorials/videos",Yes,Sometimes,Often,Tertiary,Yes,6-8 dependents,Moderately Reliable,Some of them,A few days a week,Poor,No,"Yes, significantly early",The question,Study past questions 
171,1,2024,151,Public/Government,Urban,Female,18-20 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Sometimes,Always,Secondary,No,3-5 dependents,Moderately Reliable,Some of them,Daily,Poor,No,"Yes, a little early",Transportation ,My advice is that they should make sure they read and also be prepared for the exam 
172,1,2024,108,Public/Government,Rural,Male,18-20 years,2-3 hours,"Past questions, Textbooks, Online tutorials/videos",Yes,No,Often,,Yes,9+ dependents,Moderately Reliable,"Yes, all",A few days a week,Good,Yes,"Yes, significantly early",Procrastination ,My advice is that they should make sure they read and also be prepared for the exam 
173,2,2020,162,Public/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",No,Yes,Often,Secondary,Yes,6-8 dependents,No Access,Most of them,Most days,Very Poor,Yes,"Yes, significantly early",My laptop went off all of a sudden,They should read well
174,1,2023,270,Public/Government,Urban,Male,21-23 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos, Study groups",Yes,Yes,Always,Tertiary,Yes,6-8 dependents,Moderately Reliable,Some of them,Daily,Good,No,"Yes, significantly early",My system going off whilst the exam was ongoing was the biggest challenge I faced,Study very hary
175,2,2024,132,Public/Government,Urban,Male,15-17 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,No,Often,Primary,Yes,3-5 dependents,Very Reliable,Most of them,A few days a week,Good,No,"Yes, a little early",Over crowd at the center. ,Study hard 
176,2,2023,152,Public/Government,Urban,Female,21-23 years,3-4 hours,"Past questions, Textbooks",No,Yes,Often,Primary,Yes,6-8 dependents,Moderately Reliable,"Yes, all",A few days a week,Very Poor,Yes,"Yes, a little early",I had to go to travel to a very far place to write for the exam ,Let's them  keep praying and stay focus 
177,4,2024,167,Public/Government,Rural,Male,21-23 years,3-4 hours,"Textbooks, Online tutorials/videos, Physical tutorials/coaching centers",No,Sometimes,Often,Tertiary,Yes,3-5 dependents,No Access,"Yes, all",Rarely,Poor,Yes,"Yes, a little early",Have read for a long time,study hard and prepare yourself for the exam.
178,1,2024,160,Private,Urban,Male,21-23 years,<1 hour,"Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Secondary,No,1-2 dependents,Moderately Reliable,Some of them,Most days,Poor,Yes,"Yes, significantly early",Solving past questions ,Study hard 
179,2,2024,104,Public/Government,Rural,Female,21-23 years,2-3 hours,"Past questions, Private lessons",No,Sometimes,Sometimes,,Yes,3-5 dependents,Moderately Reliable,"Yes, all",A few days a week,Poor,Yes,"Yes, a little early",Studying English sounds ,Study hard 
180,1,2024,102,Public/Government,Urban,Male,18-20 years,<1 hour,Physical tutorials/coaching centers,Yes,No,Often,,Yes,6-8 dependents,Slightly Reliable,No,Never,Average,No,"Yes, significantly early",The question,study hard
181,1,2020,162,Private,Rural,Female,18-20 years,1-2 hours,"Past questions, Physical tutorials/coaching centers, Private lessons",Yes,No,Sometimes,Primary,Yes,3-5 dependents,Moderately Reliable,Some of them,A few days a week,Poor,Yes,"Yes, a little early",Distance ,"Read, concentrate, don't be in hast but also be conscious of your time"
182,2,2020,298,Public/Government,Rural,Male,15-17 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos, Study groups",Yes,Yes,Always,Secondary,Yes,3-5 dependents,Very Reliable,Some of them,A few days a week,Average,Yes,"Yes, significantly early","I had to work and read, I was not having enough time to balance the two","I'd ask them to read well, really well."
183,1,2021,122,Public/Government,Urban,Female,18-20 years,1-2 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Often,Primary,No,1-2 dependents,Slightly Reliable,Some of them,Most days,Average,Yes,"Yes, significantly early","Computer disorder, waiting for hours before going in..",Read and dont depend on past questions only 
184,1,2024,168,Public/Government,Urban,Female,15-17 years,2-3 hours,"Past questions, Textbooks",Yes,Sometimes,Often,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,Most days,Poor,No,"Yes, a little early",The question,Prepare at all cost
185,1,2024,131,Public/Government,Urban,Female,15-17 years,2-3 hours,"Past questions, Textbooks",Yes,Yes,Often,Tertiary,No,1-2 dependents,Moderately Reliable,Very few,A few days a week,Poor,Yes,"Yes, significantly early",Cant remember ,Study well. 
186,2,2024,200,Public/Government,Urban,Female,21-23 years,3-4 hours,"Past questions, Textbooks",Yes,Sometimes,Often,Primary,Yes,3-5 dependents,Very Reliable,Some of them,Most days,Very Poor,Yes,"Yes, significantly early",The location was difficult to locate and I wasn't familiar with CBT exam.,"Join a study group, itll help you effectively. Studying on your own can frustrate you. "
187,1,2024,161,Private,Rural,Male,18-20 years,<1 hour,Past questions,Yes,Sometimes,Always,Tertiary,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Daily,Very Poor,Yes,"Yes, a little early",My laptop went off all of a sudden,Study well. 
188,1,2023,209,Public/Government,Rural,Male,15-17 years,4+ hours,Past questions,Yes,Yes,Often,Tertiary,Yes,3-5 dependents,Moderately Reliable,Some of them,A few days a week,Very Poor,No,"Yes, a little early",Studying English sounds ,Read and trust God in all you do 
189,1,2022,160,Public/Government,Rural,Female,15-17 years,4+ hours,"Past questions, Physical tutorials/coaching centers",No,Yes,Often,Secondary,Yes,3-5 dependents,Moderately Reliable,"Yes, all",Daily,Poor,No,"Yes, significantly early","I had to work and read, I was not having enough time to balance the two",Study hard
190,4,2023,246,Public/Government,Rural,Male,18-20 years,4+ hours,Textbooks,Yes,Yes,Always,Tertiary,No,6-8 dependents,Moderately Reliable,"Yes, all",A few days a week,Good,Yes,"Yes, a little early",Studying English sounds ,Read hard and study smart
191,1,2024,164,Public/Government,Urban,Female,15-17 years,4+ hours,Past questions,No,Yes,Often,Secondary,Yes,6-8 dependents,Very Reliable,"Yes, all",A few days a week,Average,Yes,"Yes, a little early",The fear of failure ,Whatever is worth doing at all is worth doing well
192,1,2020,116,Public/Government,Rural,Female,21-23 years,<1 hour,"Past questions, Textbooks, Online tutorials/videos, Physical tutorials/coaching centers, Study groups",No,Sometimes,Often,Primary,Yes,3-5 dependents,Moderately Reliable,Some of them,Daily,Very Poor,Yes,"Yes, significantly early",Nothing just nerves on edge,pray
193,1,2020,136,Public/Government,Rural,Female,21-23 years,<1 hour,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Primary,No,6-8 dependents,Slightly Reliable,"Yes, all",Most days,Poor,Yes,"Yes, significantly early",My laptop went off all of a sudden,Read and study hard to get the right score for the school you want to apply for.....If not U will keep writing Jamb every year.
